url,name,address,description,amenities,price
https://www.coworker.com/japan/tokyo/regus-tokyo-square-daikanyama,"Coworking Space: Regus - Tokyo, Square Daikanyama in Tokyo",,"Overview of Regus - Tokyo, Square Daikanyama
Regus Square Daikanyama is your gateway to a new style of working in Tokyo. This super convenient and incredibly flexible office space has previously been home to international companies and financial institutions. Now, for the first time, it’s available to entrepreneurs and professionals looking to grow their business in a productive environment. The entire centre has recently been refurbished, and now hosts a variety of private offices, collaborative meeting rooms and co-working lounges.


This well-designed workspace has premium amenities such as super-fast Wi-Fi throughout, and is furnished in a way that promotes a plug-and-play atmosphere. For lunch, you’ll find the Daikanyama area filled with restaurants and cafes, such as the Urth Caffé and King George Sandwich Bar. Daikanyama station is a 10-minute walk from the centre, while the central Shibuya station is 15 minutes away, making commuting simple. And the surrounding area is filled with great places to relax, from the scenic Saigōyama Park and Shibuya Fureai Botanical Center, to the intriguing Nidi Art Gallery and Yamatane Museum of Art.
SHOW MORE",,"Private Office
 from ¥ 55500
/month"
https://www.coworker.com/japan/tokyo/regus-tokyo-ginza-1-chome,"Coworking Space: Regus - Tokyo, Ginza 1-Chome in Tokyo",,"Overview of Regus - Tokyo, Ginza 1-Chome
The Tokyo Ginza business centre is located in the heart of the Ginza area in Tokyo. This is a highly attractive location close to not only Ginza a which is well known for high end shopping,art galleries and restaurants, but alsothe business districts of Takara-cho, Kyobashi and the Tokyo Station. Therefore the centre is convenient for all types of businesses with companies in the area from international banking and financial services, steel, paper and glass manufacturing. The business centre is located on the 5th and 6th floors of the building and offers a selection of spacious offices and meeting rooms. The centre is conveniently located with only a 2 mintute walk to Takaracho metro station, a 3 mintute walk to Ginza 1chome metro station, a 4 mintute walk to Kyobashi metro station and a 10 minute walk to JR Yurakucho station

SHOW MORE",,"Private Office
 from ¥ 69900
/month"
https://www.coworker.com/japan/tokyo/openoffice-tokyo-ikebukuro-minami-open-office,"Coworking Space: OpenOffice - Tokyo, Ikebukuro Minami (Open Office) in Tokyo",,"Overview of OpenOffice - Tokyo, Ikebukuro Minami (Open Office)
Ikebukuro station boasts the second highest number of passengers in Japan and is one of the top three metropolitan areas within the Yamanote area alongside Shinjuku and Shibuya. This Open office centre is a five-minute walk from the east exit of Ikebukuro station, a hub for 8 lines, including JR Yamanote Line, Seibu and Tobu lines, Marunouchi , Yurakucho and Fukutoshin Tokyo Metro lines. Openoffice Minami Ikebukuro is located in the heart of this commercial district on Meiji Dori, lined with outlets like Seibu Department Store and Parco. The busy vicinity includes restaurants, shops, cafes and retail outlets. The area is extremely convenient as both operational base or branches or project offices expanding into Saitama Prefecture and northern Kanto area. Openoffice centres provide efficient services at an economically sound price, and everything needed to start a business.

SHOW MORE",,"Private Office
 from ¥ 43000
/month"
https://www.coworker.com/japan/tokyo/regus-tokyo-hiroo,"Coworking Space: Regus - Tokyo, Hiroo in Tokyo",,"Overview of Regus - Tokyo, Hiroo
Hiroo is one of the most prestigious residential districts in south central Tokyo. The business centre is located just above the Hiroo subway station and it can be accessed very easily by car due to its proximity to the Takagicho freeway exist. For daily necessities, it is conveniently located to the ex-pat shopping area with high-end supermarkets like Meijiya and Azabu National Super, along with chic eateries. Hiroo is also known for its international community with people coming from various parts of the world. Historically, it has been a hub for the embassies and consulates. Just within a ten-minute walking distance, you can spot about ten embassies. We can say that it is a serene hideaway in south central Tokyo, next to the robust Roppongi area and a quick ten-minute drive to Shibuya or Aoyama.

SHOW MORE",,"Private Office
 from ¥ 58500
/month"
https://www.coworker.com/japan/tokyo/regus-tokyo-shiba-daimon,"Coworking Space: Regus - Tokyo, Shiba Daimon in Tokyo",,"Overview of Regus - Tokyo, Shiba Daimon
Regus Shiba Daimon Centre is located on the 10th Floor of this modern building. It is only a two-minute walk from Onarimon station of the Tokyo Metropolitan subway Mita Line and a three-minute walk from Daimon station of the Tokyo Metropolitan subway Asakusa Line. You can also reach Hamamatsucho station of JR and the Tokyo Monorail on foot in seven minutes. The location is also well located with connectivity to Haneda and Narita airports. In Daimon , you will find headquarters and branch offices of many global companies and Japanese manufacturers. Because the Automobile Business Association building is located nearby, companies that run businesses related to the auto industry are based in this area. System developers, patent lawyers, or any businesses that wish to target such manufacturers would benefit greatly from this location. The central location close to main transportation facilities make Regus Shiba Daimon centre an excellent choice for both international and domestic companies looking for flexible and fully equipped office space with professional office services at reasonable cost.

SHOW MORE",,"Private Office
 from ¥ 71900
/month"
https://www.coworker.com/japan/tokyo/regus-tokyo-roppongi-ekimae,"Coworking Space: Regus - Tokyo, Roppongi Ekimae in Tokyo",,"Overview of Regus - Tokyo, Roppongi Ekimae
The Roppongi Ekimae business centre is located on the 5th, 6th & 7th floor of this modern building which is loacted right above the Roppongi subway station on Roppongi Dori. As well as being a major IT hub, Roppongi is an international centre for finance and many major financial institutions are based here. Major Tokyo landmarks like Roppongi Hills, Tokyo Midtown, Ark Hills and other office complexes re in the vicinity and are occupied by many major global and Japanese corporations. The centre is excellently located for public transportation with Roppongi subway station only a one minute walk.. There are many amenities in the areas including a great variety of rseaturants and dining choices, banks, retail outlets and leisure facilitiess, which makes Roppongi a great office location. The Roppongi Ekimae business centre offers a perfect solution for local and overseas companies looking for flexible and fully-equipped offices with comprehensive services at a reasonable price in this major business hub.

SHOW MORE",,"Private Office
 from ¥ 57500
/month"
https://www.coworker.com/japan/tokyo/openoffice-tokyo-jinbocho-open-office,"Coworking Space: OpenOffice - Tokyo, Jinbocho (Open Office) in Tokyo",,"Overview of OpenOffice - Tokyo, Jinbocho (Open Office)
The Open Office Jinbocho business centre is located in Chiyoda-ku Nishikicho next to Otemachi, Tokyo’s major business district. It is only a three-minute walk from Takebashi and Jinbocho subway stations and it can be accessed by Tokyo Metro Tozai Line, Hanzomon Line, Toei Mita Line and Toei Shinjuku Line. Not to mention its fast access to Otemachi and Marunouchi area, you can also reach major Tokyo business hubs such as Shinjuku, Shibuya, and Nihonbashi conveniently. Well-known corporations like Mainichi Daily News, Marubeni, Shogakukan line their offices here along with their subsidiaries and independent ventures. Government offices, National Tax Agency, Kanda Tax Office, and Chiyoda-ku Ward Office are also within walking distance so this Open Office is very convenient for legal/accounting professionals, too. Furthermore, its great location near the imperial palace enhances this office’s tranquil atmosphere. The rich greenery is one of the reasons why Takebashi is chosen by many businesses. Convenience and serenity of Open Office Jinbocho will surely help your business take its next step.

SHOW MORE",,"Private Office
 from ¥ 48000
/month"
https://www.coworker.com/japan/tokyo/regus-tokyo-ginza-3-chome,"Coworking Space: Regus - Tokyo, Ginza 3-Chome in Tokyo",,"Overview of Regus - Tokyo, Ginza 3-Chome
The Ginza 3-Chome (Okura Bekkan Building)business centre is located in the Central Business District of Tokyo, right in the heart of the pretiguous area of GINZA. Ginza is known as a prominent outpost of many wetern companies. It is considered to be one of the best locations of luxury brand goods in the world. Famous companies such as Apple, Sony, Cartier and Ricoh have retail and headquarters in this historical area of Ginza. Designer labels, Decadent restuarants and Exhibition space, all within minutes away from famous hotels such as The Peninsula, Shangri-La and The Imperial Hotel.


The location boasts many convenient reasons why companies are choosing this location to set up their office. The centre is conveniently located from JR Yurakucho station by less than a 5 minutue walk. South of Yaesu, yet only minutes away from famous Tokyo Station.
SHOW MORE",,"1
2
3
4
5"
https://www.coworker.com/japan/tokyo/openoffice-tokyo-openoffice-daimon-ekimae,"Coworking Space: OpenOffice - Tokyo, OpenOffice Daimon Ekimae in Tokyo",,"Overview of OpenOffice - Tokyo, OpenOffice Daimon Ekimae
Embrace the quiet luxury of a Tokyo office in Minato, home to more corporate headquarters than any other district in Japan’s dynamic capital.


Open Office Shiba Daimon is situated in a unbeatable location, five minutes’ walk from Minato City Hall Bus Station and a mere minute away from Daimon Subway Station. The neighbourhood, Shiba Daimon, sits at the centre of Japan’s dynamic capital, with serene Shiba Park on your doorstep and convenient links to Haneda Airport via the Tokyo Monorail.
Local amenities include a vast range of restaurants, shops and bars, as well as a selection of cultural riches, such as the History Museum of J-Koreans, and the quirky Advertising Museum Tokyo. Offering a stylish range of co-working space with views of the district’s glittering skyline, this sleek, eight-storey property provides 12,000 sq ft to help your business thrive. You’ll also enjoy high-speed Wi-Fi and lots of natural light, as well as views of the bustling street below.
SHOW MORE",,"Private Office
 from ¥ 56000
/month"
https://www.coworker.com/japan/tokyo/regus-tokyo-harajuku,"Coworking Space: Regus - Tokyo, Harajuku in Tokyo",,"Overview of Regus - Tokyo, Harajuku
The  Jingumae centre is located on the 3rd, 5th & 6th floors of the Tobu Building. This very popular location is bounded by Shibuya, Harajuku and Omotesando. The centre is within a short 2 minute walk on foot to the Tokyo Metro Jingumae Station in Meiji dori. JR Harajuku and Shibuya stations area alsowithin a short distance. A very popular spot surrounded by Shibuya, Harajuku and Omotesando, the Jingumae area is a major influence on the fashion industry and other consumer trends. This fashionable area is in high demand with many SMEs, entrepreneurs, designers and start-ups in the fashion/apparel industry, IT and also start up businesses. The central location close to main transportation facilities make Regus Jingumae Centro an excellent choice for both international and domestic companies looking for flexible and fully equipped office space with professional office services at reasonable cost.

SHOW MORE",,"Private Office
 from ¥ 71500
/month"
