Place Name,Score
WeWork Shibuya Scramble Square,0.6629999999999999
Tokyo Chapter - ninetytwo13,0.6388658536585365
.andwork shibuya,0.5856097560975609
CASE Shinjuku,0.6614512195121951
WeWork TOKYO SQUARE GARDEN,0.6273292682926829
【法人登記可】コワーキングスペースfactoria nishiogi,0.7289878048780488
LULL TECH BEACH shibuya coworking space,0.7506585365853657
Impact HUB Tokyo,0.6755243902439024
RYOZAN PARK 巣鴨（GRAND）,0.6218414634146341
BLINK Roppongi,0.7189999999999999
AWS Startup Loft Tokyo,0.7729634146341462
Pasela Co-work Higashishinjuku,0.8148292682926829
TOKYOシェアオフィス墨田,0.7037317073170732
Gotanda co-working space pao pao,0.6389390243902439
WeWork LINK SQUARE SHINJUKU,0.6148780487804878
SHIBUYA QWS,0.6693292682926829
SYCL by KEIO,0.697890243902439
WeWork Iceberg,0.7246341463414634
Basis Point Shinbashi,0.9019999999999999
S-TOKYO,0.7106951219512195
