Place Name,Score
EslabON Coworking,0.7627441860465117
COWORKING - ALQUILER SALAS - DESPACHOS - CENTRO DE NEGOCIOS Aguacate,0.7167441860465116
Espacio Coworking CC Plaza Río 2,0.583767441860465
CO-MA COWORKING,0.709767441860465
Coworking La Ebanistería,0.7153488372093023
SoWORK Coworking en Leganés,0.7166976744186047
ACCESS POINT COWORKING,0.7125116279069768
Espacio Oculto Madrid,0.7152093023255814
El coworking de altamarea,0.7083720930232558
Coworking La Guarida Creativa Leganés,0.7167441860465116
JERÓNIMO by Bonsai (Coworking Space),0.7026046511627906
Area Coworking,0.7376279069767442
Talent Garden Madrid,0.9299999999999999
The Small House CoWorKing,0.7167441860465116
MODO Coworking,0.7236279069767442
Freeland,0.8980465116279068
Coworking LOOM Huertas,0.7793488372093023
Manual - Casa Creativa,0.713860465116279
