url,name,address,description,amenities,price,city
https://www.coworker.com/spain/madrid/regus-madrid-financial-district-torre-europa,Coworking Space: Regus - Madrid Financial District - Torre Europa in Madrid,,"Overview of Regus - Madrid Financial District - Torre Europa
The 30-floor circular, glass Torre Europa centre is situated at the heart of Madrid's business district, in the AZCA commercial area. The building, one of five towers, is a striking example of modern architecture. Property and finance dominate the business landscape. Torre Europa enjoys direct access to Paseo de la Castellana, and features secure, on-site parking. Madrid is the third largest capital in Europe and, has the fourth largest GDP on the continent and is considered the major financial centre of Southern Europe. The city hosts the head offices of the vast majority of the major Spanish companies. The city is a major centre for international business and commerce, experiencing recent rapid growth in the service sector.

SHOW MORE",[],"Private Office
 from € 490
/month",Madrid
https://www.coworker.com/spain/madrid/regus-las-rozas-las-rozas,"Coworking Space: Regus - LAS ROZAS, Las Rozas in Madrid",,"Overview of Regus - LAS ROZAS, Las Rozas
The Las Rozas business centre is situated in a well known business park area on the north-west of Madrid. Neighbouring businesses include, IT services and electronics as well as HR consulting and small medium businesses. This business centre has a wide selection of offices for rent, meeting rooms, catering and a large amount of communal space. The modern office building features all the comforts of today's business needs. Just 20 minutes from La Castellana. The area has great amenities in terms of restaurants, shopping centre and supermarkets. It is also the location of the largest outlet shopping area of Spain.",[],"Private Office
 from € 189
/month",Madrid
https://www.coworker.com/spain/madrid/regus-madrid-ortega-y-gasset,"Coworking Space: Regus - Madrid, Ortega y Gasset in Madrid",,"Overview of Regus - Madrid, Ortega y Gasset
The Ortega y Gasset center, is located in the Salamanca district of Madrid, just 350 metres from the Núñez de Balboa metro station. Is located beside the city’s fashion boutiques on Ortega y Gasset street.


The Plaza de Cibeles and the Retiro Park are a 15-minute walk away. The center is well-connected to the centre by bus. It’s a 12-minute drive to Adolfo Suárez Madrid-Barajas Airport(MAD).",[],"Private Office
 from € 315
/month",Madrid
https://www.coworker.com/spain/madrid/wework-eloy-gonzalo-27,Coworking Space: WeWork Eloy Gonzalo 27 in Madrid,,"Overview of WeWork Eloy Gonzalo 27
***OPENING SOON***

With a rich history, thriving local economy, and endless array of nearby eateries, WeWork’s Trafalgar coworking space is the ideal location to jumpstart your business. In addition to hallmark amenities like front desk service, private offices, and unique conference rooms, a dog-friendly policy and onsite showers truly set this location apart. With convenient bike storage and easy access to the Iglesia, Quevedo, and Alonso Cano Subway Stations just minutes away, commuting is simple no matter where you’re coming from. Our Plaza de Olavide office space also boasts close proximity to many of the city’s best restaurants, bars, and galleries, so you’ll always have plenty of options for entertaining clients and celebrating team wins. Schedule a visit today to reimagine your workday.
SHOW MORE",[],"Private Office
 from € 980
/month",Madrid
https://www.coworker.com/spain/madrid/regus-madrid-pinar-salamanca-district,Coworking Space: Regus - Madrid Pinar-Salamanca District in Madrid,,"Overview of Regus - Madrid Pinar-Salamanca District
Salamanca is well-known for being one of the wealthiest and exclusive areas of Madrid. The building has an impressive, solid facade and a roof-top terrace with a fantastic view of Madrid. Between the two main business districts of Colon and AZCA, the business centre is less than two miles from the city centre. Many embassies, ministries and banks are located nearby. Madrid is the third largest capital in Europe and, has the fourth largest GDP on the continent and is considered the major financial centre of Southern Europe. The city hosts the head offices of many major Spanish companies, including Banco Santander. As a major centre for international business and commerce, the city has seen recent rapid growth in the service sector.

SHOW MORE",[],"Private Office
 from € 225
/month",Madrid
https://www.coworker.com/spain/madrid/regus-madrid-torre-de-cristal,"Coworking Space: Regus - Madrid, Torre de Cristal in Madrid",,"Overview of Regus - Madrid, Torre de Cristal
Do business with distinction. In Spain’s second tallest building. Our Madrid Torre de Cristal business centre is sure to impress your customers and inspire your best work. While keeping you connected to companies from business consultants to legal giants.


Just outside, you’ll find fifteen bus routes, a metro station, and high-speed rail links. If you’re making new deals, you’re already at the heart of one of Europe’s most important business districts. And if you’re taking a break, the surrounding streets are lined with welcoming restaurants and cafes.

✓Convenient parking. For you and your clients.

24-hour access. Work your way.
An iconic building in a strategic Madrid location. Elegant and efficient.
Refuel your thinking. At the convenient ground floor lunch restaurant.
Business lounge access. Just drop in and work.
Private meeting rooms. Made for business.
SHOW MORE",[],"Private Office
 from € 280
/month",Madrid
https://www.coworker.com/spain/madrid/regus-madrid-colon,"Coworking Space: Regus - Madrid, Colon in Madrid",,"Overview of Regus - Madrid, Colon
Regus Colon is situated on the longest and widest avenue in Madrid (La Castellana). Neighbouring businesses include financial institutions, global IT and electronics related companies as governmental offices, fine hotels and restaurants. Regus Colon has a wide selection of offices for rent as well as meeting rooms, a terrace and a large amount of communal space.  This modern office features all the comforts to meet your business needs. Located just minutes from the Puerta del Sol and right on the Castellana, it is easy to cross the city on this main thoroughfare. The area is used by many countries to house their embassies and consulates and has a great number of bars and restaurants# for a business lunch or just an informal drink. 

SHOW MORE",[],"Private Office
 from € 345
/month",Madrid
https://www.coworker.com/spain/madrid/regus-madrid-manoteras,"Coworking Space: Regus - Madrid, Manoteras in Madrid",,"Overview of Regus - Madrid, Manoteras
Located in the dynamic city of Madrid, the capital of Spain, this centre offers all the advantages of working in a modern city with a long history. The centre is sorrounded by local and international companies that create a powerful network and a business oriented enviroment.


In the neighbourhood, you will also found restaurants, coffee shops and hotels. Plus, the centre is 12 minutes away from the international airoport of Madrid-Barajas and it is connected to the bus and underground lines in a convinient walk.
SHOW MORE",[],"Private Office
 from € 185
/month",Madrid
https://www.coworker.com/spain/madrid/regus-madrid-la-moraleja,"Coworking Space: Regus - Madrid, La Moraleja in Madrid",,"Overview of Regus - Madrid, La Moraleja
A modern business park in one of the most prestigious areas of the north of Madrid is the home of the La Moraleja business centre. It occupies a stylish and contemporary low-rise building, which enjoys excellent natural lighting and benefits from an internal accessible patio. The business centre is surrounded by major industries in sectors such as banking, IT and hi-tech, including companies specialising in biotechnology and engineering solutions. The business centre is close to all amenities, including the green space of two golf courses. It is extremely well connected to transport, including the nearby motorway, a European E-05 route that connects Spain to northern markets in France and the UK. There is also a metro station nearby and Barajas international airport is about a 15 minutes' drive away.

SHOW MORE",[],"1
2
3
4
5",Madrid
https://www.coworker.com/spain/madrid/regus-madrid-avenida-america,"Coworking Space: Regus - Madrid, Avenida America in Madrid",,"Overview of Regus - Madrid, Avenida America
Majestic contemporary architecture. Surrounded by open courtyards. Our Martinez Villergas business centre is in one of Madrid’s most prestigious new development. An iconic location that shows you mean business. With businesses from telecoms, the media, and technology just outside.


It’s an inspirational – and desirable – Ciudad Lineal location. Close to everything from cafes and restaurants to a landmark sports centre. All seconds from the M-30 highway, ten minutes from the subway, and moments from the airport.
SHOW MORE",[],"Private Office
 from € 209
/month",Madrid
https://www.coworker.com/spain/madrid/spaces-madrid-spaces-rio,"Coworking Space: Spaces - Madrid, Spaces Rio in Madrid",,"Overview of Spaces - Madrid, Spaces Rio
Located in the beautiful centre of the Spanish capital, this centre is perfect for creative entrepreneurs and professionals that are looking for a coworking space in Madrid. The centre is 2 minutes away from the famous Palacio Real and Oriente square park.


Also, the centre is sourrounded by restaurants, retailers, coffe shops and hotels. And it is connected to the bus and underground lines in a convinient walk.",[],"1
2
3
4
5",Madrid
https://www.coworker.com/spain/madrid/spaces-madrid-spaces-castellana,"Coworking Space: Spaces - Madrid, Spaces Castellana in Madrid",,"Overview of Spaces - Madrid, Spaces Castellana
In a country full of lively cities that ooze personality, Madrid stands out and shows its visitors and residents that the energy of Spain’s capital is hard to match. In the busy business district of Chamartín, the ideal workspace for your business could be hard to find. But with our Castellana centre, you get a modern business centre with 24-hour access, onsite parking and high-speed internet. Whatever your needs, whether it’s offices to rent, hot desks or meeting rooms, it’s available in this comfortable, well-lit co-working environment.


What’s more, the onsite facilities go above and beyond, with showers for freshening up, Sky TV in the reception areas and a deli cafe for lunch breaks. And because of the great transport links (the Cuzco underground station and Rosario Pino bus station are just minutes away), you’ll be able to access the whole of Madrid with ease. And if you’re travelling in from out of town, Madrid Chamartín railway station is a 10-minute drive away. In the surrounded area, there’s hotels, restaurants and bars, meaning you’re never far from the perfect place to entertain clients. And if they’re looking for something more unique, the Tiflológico Museum (ONCE) and Museo Nacional de Ciencias Naturales are fantastic distractions from the working day. However you want to use this flexible workspace, you’ll find Castellana the perfect choice.
SHOW MORE",[],"Private Office
 from € 295
/month",Madrid
https://www.coworker.com/spain/madrid/espiritu23,Coworking Space: Espiritu23 in Madrid,,"Overview of Espiritu23
Located a few minutes north of the Centro district of Madrid, Espíritu23 is a fun and dynamic coworking space. Surrounded by several theaters and yoga studios, you’ll have refreshing leisure options after a long day of work. This isn’t the biggest reason you’ll love Espíritu23 though.

Just being in this coworking space is a breath of fresh air. The countless paintings on the wall will help you get in touch with your creative side, and they make for great selfies too!

The work area itself offers an abundant amount of space while still feeling cosy. You’ll also be well equipped to tackle all your challenges of the day. With a fast internet connection, kitchen, meeting room, and printer/scanner, you’ll have everything you need to crush it at work.

As exciting as all this is, the heart of Espíritu23 is its community. Members are tremendously encouraging, and there’s a contagious positive energy that permeates the entire space. Both inspirational ideas, and hearty laughs are constantly being shared by members. Prices to join this community are reasonable too.

Individual tables in the coworking room are rented for 220€/month. A fixed position at a shared table and flexible seat are available for 170€/month and 150€/month respectively.
SHOW MORE",[],"Private Office
 from € 638
/month",Madrid
