Place Name,Score
Betahaus | Coworking Barcelona,0.972
OneCoWork Plaça Catalunya | Barcelona Coworking,0.9116907216494844
La Vaca Coworking Barcelona,0.8150412371134019
MOB Bailén - Coworking in Barcelona,0.8017319587628865
Kubik Barcelona,0.6951134020618557
Meet BCN - Coworking Space in Barcelona,0.7176185567010308
The Office Coworking Barcelona,0.6788762886597939
Norrsken House Barcelona,0.722340206185567
Cowork Rambla Catalunya - Coworking Barcelona,0.7393505154639176
OneCoWork Catedral | Barcelona Coworking,0.8305051546391752
Coworking space Camaleó,0.8219175257731959
Sitandplug,0.7207938144329897
"Coworking Sant Antoni Barcelona | Fix, Flex y Day Pass",0.7432989690721649
Aticco Bailén - Coworking Eixample Dreta,0.7231958762886598
The Social Hub Coworking Barcelona Poblenou,0.7163505154639175
Barcelona Reial Coworking,0.6245051546391752
Coworking Transforma bcn,0.8096288659793813
"Spaces - Barcelona, Spaces 22 Arroba",0.6614536082474226
Wojo Coworking Barcelona Poblenou - Alquiler oficinas y salas de reuniones,0.7515567010309279
Sowo Coworking Barcelona,0.7051649484536082
EslabON Coworking,0.7627441860465117
COWORKING - ALQUILER SALAS - DESPACHOS - CENTRO DE NEGOCIOS Aguacate,0.7167441860465116
Espacio Coworking CC Plaza Río 2,0.583767441860465
CO-MA COWORKING,0.709767441860465
Coworking La Ebanistería,0.7153488372093023
SoWORK Coworking en Leganés,0.7166976744186047
ACCESS POINT COWORKING,0.7125116279069768
Espacio Oculto Madrid,0.7152093023255814
El coworking de altamarea,0.7083720930232558
Coworking La Guarida Creativa Leganés,0.7167441860465116
JERÓNIMO by Bonsai (Coworking Space),0.7026046511627906
Area Coworking,0.7376279069767442
Talent Garden Madrid,0.93
The Small House CoWorKing,0.7167441860465116
MODO Coworking,0.7236279069767442
Freeland,0.8980465116279068
Coworking LOOM Huertas,0.7793488372093023
Manual - Casa Creativa,0.713860465116279
"WORKVILLE - Flexible Office Space, Conference Center, Coworking & Meeting Room Rental NYC",1.0
The Farm SoHo NYC - Coworking Office Space and Private Offices,0.8509169054441261
Nomadworks,0.7864469914040114
Rise New York,0.8797765042979943
Coworking @ Industry City,0.7278739255014326
WorkHouse NYC,0.6721203438395416
Bond Collective - 60 Broad,0.7427335243553009
"OASIS by Workville - Conference Center & Corporate Events, Flex Office, Meeting Space Venue & Rooftop",0.8392550143266475
Workspace by Rockefeller Group,0.7358567335243553
Primary,0.7620114613180516
Croissant,0.7550143266475644
Blender Workspace,0.7351174785100285
Bond Collective - 55 Broadway,0.7250487106017193
The Yard: Lower East Side Coworking Office Space NYC,0.6643839541547278
Bond Collective - Bushwick,0.7814154727793696
The Commons,0.7089627507163323
Carr Workplaces Central Park - Coworking & Office Space,0.7178051575931232
The New Work Project,0.8083094555873925
The Yard: Herald Square Coworking Office Space Manhattan,0.6873467048710602
Based In Coworking and Event Space,0.6803495702005731
WeWork Shibuya Scramble Square,0.6629999999999999
Tokyo Chapter - ninetytwo13,0.6388658536585365
.andwork shibuya,0.5856097560975609
CASE Shinjuku,0.6614512195121951
WeWork TOKYO SQUARE GARDEN,0.6273292682926829
【法人登記可】コワーキングスペースfactoria nishiogi,0.7289878048780488
LULL TECH BEACH shibuya coworking space,0.7506585365853657
Impact HUB Tokyo,0.6755243902439024
RYOZAN PARK 巣鴨（GRAND）,0.6218414634146341
BLINK Roppongi,0.7189999999999999
AWS Startup Loft Tokyo,0.7729634146341462
Pasela Co-work Higashishinjuku,0.8148292682926829
TOKYOシェアオフィス墨田,0.7037317073170732
Gotanda co-working space pao pao,0.6389390243902439
WeWork LINK SQUARE SHINJUKU,0.6148780487804878
SHIBUYA QWS,0.6693292682926829
SYCL by KEIO,0.697890243902439
WeWork Iceberg,0.7246341463414634
Basis Point Shinbashi,0.902
S-TOKYO,0.7106951219512195
