url,name,address,description,price
https://www.coworker.com/spain/barcelona/betahaus-barcelona,Coworking Space: Betahaus Barcelona in Barcelona,,"Overview of Betahaus Barcelona
Full remodelation of the space! The most flexible space.

A flexible home for professionals to get their stuff done, Betahaus is a coworking space for freelancers, entrepreneurs, startups and businesses who are over trying to work alone from a home environment or finding a table in the local cafe with Wi-Fi.

Coworking memberships are flexible and affordable giving you 24/7 access to keep a smile on the faces of the workaholics. Memberships are for however long you want on fees that will allow you to have plenty of cash in your pockets to gorge on tapas at night. There are no strings attached and no minimum stay contracts. It's easy to start as a solo flyer and increase your space as your team increases. You will have a diverse community of likeminded souls to hang out with, share ideas, to collaborate on plans about world domination and a shoulder to cry on should you come unstuck.

Coworking members can choose from a hot desk or a dedicated space where you can leave your favorite coffee mug and wilting plant. Administration staff is on hand from 9am to 6pm Monday to Friday if you come unstuck and there are mail-handling services. You can also use the address as your fiscal business address for tax and company purposes. It is a one-stop solution to your business woes with seriously fast Internet to connect to, meeting rooms to invade and Skype booths, so that no one can overhear your partner yelling at you to come home.

There are so many benefits and perks of becoming a part of the Betahaus coworking community that you should jump onto their website to check it out. You will be joining a tribe of intrepid souls sitting in 45 different countries.
SHOW MORE","Private Office
 from € 1214
/month"
https://www.coworker.com/spain/barcelona/regus-barcelona-sarria-forum,"Coworking Space: Regus - Barcelona, Sarria Forum in Barcelona",,"Overview of Regus - Barcelona, Sarria Forum
Affordable workplace used to be difficult to find in Barcelona’s distinctive first business district. Then this new business centre opened in the Sarria Forum office complex, offering modern workspace at transparent prices. Making their home in the two buildings are some high-profile names, including Ernst & Young, Global Praxis and BASF but there are many others in this popular corporate hub.


The centre is located in Building B, which has eight floors, and provides flexible, contemporary workspace to rent, including offices, meeting rooms and coworking spaces. The space is great for private work, formal and informal networking (it includes an external terrace on level 4), and collaborating on projects.
SHOW MORE","Private Office
 from € 305
/month"
https://www.coworker.com/spain/barcelona/regus-barcelona-world-trade-centre,Coworking Space: Regus - Barcelona World Trade Centre in Barcelona,,"Overview of Regus - Barcelona World Trade Centre
World Trade Center is located at the end of the famous Las Ramblas district in the old port area of Barcelona. With spectacular views of the sea port, the centre is one of four impressive eight-storey buildings built on a jetty into the harbour. Designed by world-renowned architects, Pei, Coob, Freed & Partners, the World Trade Center is without a doubt one of Barcelona's most prestigious locations. The centre features a stunning central courtyard with a fountain and seating area and is situated only five minutes from the centre of Barcelona, a major economic centre with a growing financial emphasis. Barcelona is recognised as a Global City due to its importance in finance, commerce, media, entertainment, arts, international trade, education and tourism.

SHOW MORE","1
2
3
4
5"
https://www.coworker.com/spain/barcelona/regus-barcelona-mas-blau,"Coworking Space: Regus - Barcelona, Mas Blau in Barcelona",,"Overview of Regus - Barcelona, Mas Blau
Mas Blau Centre is located in a consolidated business park, next to Barcelona’s international airport. Multinational companies have already chosen to locate their offices in the area. The L9 metro station that runs from downtown to the airport is allowing people to commute in a fast and simple way.


The business centre is located in two floors of a high end building surrounded by ample green areas. The business park has a strategic location and is near to logistics parks, the port and 10 minutes away from the centre of Barcelona, a major economic centre with a growing financial emphasis. Barcelona is recognised as a Global City due to its importance in finance, commerce, media, entertainment, arts, international trade, education and tourism.
SHOW MORE","Private Office
 from € 155
/month"
https://www.coworker.com/spain/barcelona/regus-barcelona-diagonal,Coworking Space: Regus - Barcelona Diagonal in Barcelona,,"Overview of Regus - Barcelona Diagonal
Located in one of the most striking buildings in Barcelona, the centre is situated on the main street in the business district. On the sixth floor of this ultra-modern building, overlooking the wide Diagonal boulevard, the centre has a tranquil indoor courtyard with hanging garden. The centre is surrounded by international businesses and is close to the Industrial Technology School. A major economic centre with a growing financial emphasis, Barcelona is recognised as a Global City due to its importance in finance, commerce, media, entertainment, arts, international trade, education and tourism.","Private Office
 from € 345
/month"
https://www.coworker.com/spain/barcelona/regus-barcelona-diagonal-balmes,"Coworking Space: Regus - Barcelona, Diagonal Balmes in Barcelona",,"Overview of Regus - Barcelona, Diagonal Balmes
A stylish place to do business, our Barcelona Diagonal Balmes business centre is strategically located at the intersection of Avenida Diagonal and Balmes Street – two key arterial roads. And while road connections make it easy to network with companies from fashion, retail, and creative industries, it’s just a six minute walk to the metro.


The spacious centre crosses two floors in a formal building that’s sure to impress your visitors – and present a professional image. Meanwhile, the ground floor offers luxury retail space, with more in the surrounding streets alongside restaurants, banks, and other amenities.

✓24-hour access so you can work your own way

Voicemail services so you’ll never miss a thing
Impress your visitors in an elegant stone building
A well-connected location just 15 minutes from Barcelona Sants train station
Business lounge access for working on the move
Professional meeting rooms so you can bring people together
SHOW MORE","Private Office
 from € 249
/month"
https://www.coworker.com/spain/barcelona/regus-barcelona-plaza-catalunya,"Coworking Space: Regus - Barcelona, Plaza Catalunya in Barcelona",,"Overview of Regus - Barcelona, Plaza Catalunya
The centre is located in the emblematic ""El Triangle"" building, a stunning location with elegant sophisticated surroundings, shops and cafeterias included. Everything is just a few steps away from the centre and with a public parking on the building.


Our centre is on a first class location, right in the heart of Barcelona, which makes our Business Center Plaza Catalunya perfect for your meetings.
Furthermore the metro and train station are just across the street so you can easily access to other parts of the city.

✓24-hour access so you can work your own way

Voicemail services so you’ll never miss a thing
A stunning location in the centre of Barcelona
Inspiring 4th floor views over the iconic Plaza de Catalunya
Professional meeting rooms so you can bring people together
SHOW MORE","Private Office
 from € 249
/month"
https://www.coworker.com/spain/barcelona/wework-glories,Coworking Space: WeWork Glories in Barcelona,,"Overview of WeWork Glories
Sitting proudly on nine full floors of a gleaming glass building at the junction of two of Barcelona’s busiest thoroughfares, WeWork at Plaça de les Glòries Catalanes is a coworking space for winners. This neighborhood is a hub for companies focused in technology and innovation, but our convenient workspace welcomes businesses of all sizes—no matter their pursuit. With onsite parking and a mere three minute stroll to both the 6 and 7 buses and Metro Glòries, your commute is simple. Looking for drinking and dining? While nearby restaurants like El Quinto and Catacroquet offer delicious lunches and snazzy client dinners, clubs like Razzmatazz are the perfect spot for lively after-work drinks with the team. Finally, take a 10 minute drive to the beach of Bogatelli for some midday sunshine. There’s plenty to enjoy at WeWork.
SHOW MORE","Private Office
 from € 500
/month"
https://www.coworker.com/spain/barcelona/talent-garden-barcelona,Coworking Space: Talent Garden Barcelona in Barcelona,,"Overview of Talent Garden Barcelona
Talent Garden is Europe’s leading innovation platform for the digital & tech community with more than 4,500 members across 8 countries including startups, freelancers, SMEs and corporates.

Our campus in Barcelona is located in the Innovation District 22@, just 5 mins away from the beach and the metro station Llacuna, in Poblenou. The campus has 4,000 sqm, 4 floors and it can host more than 300 members.

Talent Garden Barcelona offers modern and flexible workspaces both in shared areas and private offices, event spaces and workshop rooms, café, kitchen (exclusive for members) and common areas. It being a coworking space makes it a dynamic place, full of opportunities to grow your business and to enjoy whether you are a freelancer or you’re a team. Inside our campuses we provide the perfect balance between a professional environment and a relaxed space. Also, being part of Talent Garden will give you access to its international network and to 21 campuses in 8 countries.
SHOW MORE","Private Office
 from € 350
/month"
https://www.coworker.com/spain/barcelona/regus-barcelona-diagonal-hightech-22,"Coworking Space: Regus - Barcelona, Diagonal Hightech 22@ in Barcelona",,"Overview of Regus - Barcelona, Diagonal Hightech 22@
The Diagonal 131 High Tech centre is a contemporary building on tree-lined Avinguda Diagonal, a major avenue running diagonally through the city of Barcelona. Thecentre location in the 22@ innovation and financial district makes it an ideal base for business travellers. The International Convention Center for Barcelona (CCIB) lies a short walk from the centre, as does the Agbar Tower and the new cultural and design hub, Disseny Hub Barcelona.


The centre is well served for public transport by rail, bus and underground, and is close to roads leading to motorway routes to Girona, France, Lerida, Zaragoza and Madrid. It’s a 20-minute drive to Barcelona El Prat Airport (BCN).
SHOW MORE","Private Office
 from € 245
/month"
